"Spatial_Unit","Always_Absent","Always_Present","No_Pattern","Increasing","Decreasing","Fluctuating","Failed","Total_Pixels","Pct_Always_Absent","Pct_Always_Present","Pct_No_Pattern","Pct_Increasing","Pct_Decreasing","Pct_Fluctuating","Prop_Increasing","Prop_Stable_Suitable","Prop_Decreasing","Prop_Stable_Unsuitable"
"ทับลาน",10,21,8,2,0,0,0,41,24.39,51.22,19.51,4.88,0,0,6.45,67.74,0,50
"เขาใหญ่",7,20,15,2,0,0,0,44,15.91,45.45,34.09,4.55,0,0,5.41,54.05,0,29.17
"ตาพระยา",6,5,7,0,0,0,0,18,33.33,27.78,38.89,0,0,0,0,41.67,0,46.15
"ปางสีดา",2,9,8,1,0,0,0,20,10,45,40,5,0,0,5.56,50,0,18.18
"ดงใหญ่",0,8,4,0,0,0,0,12,0,66.67,33.33,0,0,0,0,66.67,0,0
