"Spatial_Unit","Time_Step","Decrease_Pixels","Increase_Pixels"
"Lampang",2016,0,0
"Lampang",2017,0,0
"Lampang",2018,0,0
"Lampang",2019,0,0
"Lampang",2020,0,0
"Lampang",2021,0,0
"Lampang",2022,0,0
"Lampang",2023,0,0
"Lampang",2024,0,0
"Lampang",2025,0,0
"Lamphun",2015,0,0
"Lamphun",2016,0,0
"Lamphun",2017,0,0
"Lamphun",2018,0,0
"Lamphun",2019,0,0
"Lamphun",2020,0,0
"Lamphun",2021,0,0
"Lamphun",2022,0,0
"Lamphun",2023,0,0
"Lamphun",2024,0,0
"Lamphun",2025,0,0
"Loei",2015,0,0
"Loei",2016,0,0
"Loei",2017,0,0
"Loei",2018,0,0
"Loei",2019,0,0
"Loei",2020,0,0
"Loei",2021,0,0
"Loei",2022,0,0
"Loei",2023,0,0
"Loei",2024,0,0
"Loei",2025,0,0
"Lop Buri",2015,0,0
"Lop Buri",2016,0,0
"Lop Buri",2017,0,0
"Lop Buri",2018,0,0
"Lop Buri",2019,0,0
"Lop Buri",2020,0,0
"Lop Buri",2021,0,0
"Lop Buri",2022,0,0
"Lop Buri",2023,0,0
"Lop Buri",2024,0,0
"Lop Buri",2025,0,0
"Mae Hong Son",2015,0,0
"Mae Hong Son",2016,0,0
"Mae Hong Son",2017,0,0
"Mae Hong Son",2018,0,0
"Mae Hong Son",2019,0,0
"Mae Hong Son",2020,0,0
"Mae Hong Son",2021,0,0
"Mae Hong Son",2022,0,0
"Mae Hong Son",2023,0,0
"Mae Hong Son",2024,0,0
"Mae Hong Son",2025,0,0
"Maha Sarakham",2015,0,0
"Maha Sarakham",2016,0,0
"Maha Sarakham",2017,0,0
"Maha Sarakham",2018,0,0
"Maha Sarakham",2019,0,0
"Maha Sarakham",2020,0,0
"Maha Sarakham",2021,0,0
"Maha Sarakham",2022,0,0
"Maha Sarakham",2023,0,0
"Maha Sarakham",2024,0,0
"Maha Sarakham",2025,0,0
"Mukdahan",2015,0,0
"Mukdahan",2016,0,0
"Mukdahan",2017,0,0
"Mukdahan",2018,0,0
