"Spatial_Unit","Always_Absent","Always_Present","No_Pattern","Increasing","Decreasing","Fluctuating","Failed","Total_Pixels","Pct_Always_Absent","Pct_Always_Present","Pct_No_Pattern","Pct_Increasing","Pct_Decreasing","Pct_Fluctuating","Prop_Increasing","Prop_Stable_Suitable","Prop_Decreasing","Prop_Stable_Unsuitable"
"ทับลาน",8,7,23,3,0,0,0,41,19.51,17.07,56.1,7.32,0,0,9.09,21.21,0,23.53
"เขาใหญ่",5,4,23,9,1,2,0,44,11.36,9.09,52.27,20.45,2.27,4.55,23.08,10.26,2.5,12.5
"ตาพระยา",4,1,11,1,1,0,0,18,22.22,5.56,61.11,5.56,5.56,0,7.14,7.14,5.88,23.53
"ปางสีดา",0,2,15,3,0,0,0,20,0,10,75,15,0,0,15,10,0,0
"ดงใหญ่",0,4,7,1,0,0,0,12,0,33.33,58.33,8.33,0,0,8.33,33.33,0,0
